jobNumber,jobName,sales,location,region,description,priority,currentStatus,jobNotes,readyForInstall,orderDate,mfgTarget,mfgTargetModified,installTarget,scheduledInstall,dateInstalled,dateToAdmin,vendor,poNumber,vendorStatus,mfgRegion,installRegion,ulSign,value,totalHrsMfg,totalHrsInstall,dip,vinylDueDate,sketchFile,process,isActive,dept_graphics,dept_routingType,dept_metal,dept_assembly,dept_plexApplication,dept_vinyl
J26606,EQUITY BANK,DW,"Pea Ridge, AR",WK,"Fabricate and install 1 set of 3/8"" acrylic thick flat cut out letter flush mounted to interior sheetrock wall. SHIP TO: Sign Designs - Chris Meeks 1720 W. 7TH ST. JOPLIN MO 64801 417-624-8688 chris@sign-designs.com",,Complete to Admin,Shipped to install subcontractor,Survey needed,2024-12-31,2025-02-18,,2025-02-24,,,2025-04-24,"GEMINI,GREGORY",16939 / 16930,RECEIVED,WK,Sub-Installer,False,2807.06,,0.0,524.0,,document - 2025-01-02T071632.010.pdf,Completed,False,"Outsourced,Hutch",,,,done,done
J29422,Salon Aspire,DW,Wichita,WK,"We did not produce these tenant panels. Appears to be made out of ACM. Survey both tenant panels. Please get VO, cut size, retainer size, and info needed to replace graphics. Is acrylic glued to back or stud mounted? Will we need all new panels and acrylic or can panels be reused? Are panels aluminum or prepainted ACM?",,Complete to Admin,gave survey info to Adam/scan to Ray for survey info.,Survey needed,2025-02-12,2025-04-02,,2025-04-08,,2025-06-04,2025-09-25,,,,WK,WK,False,,0.0,0.0,481.0,,"South Face 2.jpg, South Face.jpg",Completed,False,,,,,,
J26556,EQUITY BANK,DW,"Pea Ridge, AR",WK,Fabricate and install 1 banner grip system and 1 digitally printed banner to brick wall. SHIP TO: SIGN DESIGNS Attn Chris Meeks V19160 1720 W. 7TH ST. JOPLIN MO 64801 417-624-8688 chris@sign-designs.com,,Complete to Admin,banner frame here 3/4/25,Survey needed,2025-02-25,2025-04-15,,2025-04-21,,,2025-04-24,"Alpina Mfg.,INDEPENDENT'S",17263  17264,RECEIVED,WK,Sub-Installer,False,2834.53,0.0,0.0,468.0,,J26556 Equity Bank_Banner Grip System.pdf,Completed,False,,,,,,
J30070,Idaho First Bank,DW,"Boise, ID",WK,Survey Site,,Complete to Admin,,Survey needed,2025-03-13,2025-05-01,,2025-05-07,,2026-01-29,2026-01-30,,,,Sub,Sub-Installer,False,,0.0,0.0,452.0,,,Completed,False,,,,,,
J30595,BUSEY BANK (CROSSFIRST BANK),CC,"Tulsa, OK",WK,Additonal labor rate to install Tulsa Busey Signage Additional labor costs to perform installs over the weekend at the Tulsa branch.,,Complete to Admin,Cancel per CC,Survey needed,2025-04-28,2025-06-16,,2025-06-22,,,,,,,WK,WK,False,9938.63,0.0,0.0,406.0,,,Completed,False,,,,,,
J30594,BUSEY BANK (CROSSFIRST BANK),CC,OKC,WK,Overtime rates to install OK city Busey signage Additional labor costs to perform installs over the weekend at the Oklahoma City branch.,,Complete to Admin,Cancel per CC,Survey needed,2025-04-28,2025-06-16,,2025-06-22,,,,,,,WK,WK,False,5682.75,0.0,0.0,406.0,,,Completed,False,,,,,,
J30593,BUSEY BANK (CROSSFIRST BANK),CC,Wichita,WK,"Adjust labor on jobs to weekend rates Additional labor costs for installing new signage over the weekend at the Wichita, KS branch.",,Complete to Admin,Cancel per CC,Survey needed,2025-04-28,2025-06-16,,2025-06-22,,,,,,,WK,WK,False,4026.0,0.0,0.0,406.0,,,Completed,False,,,,,,
J29256,MCP GROUP - Salina Fire Station #4,"TN,DP",Salina,WK,"Salina Fire Station #4 - Dimensional Letters SCOPE OF WORK: Produce and Install New Halo/Reverse Lighted Channel letters - Qty: 1 Set – “4” - Sign Type: Halo/Reverse Lighted Channel letters - Size: 7’-0” x 4’-10 5/16” - Mounting Type: 1-1/2” Stand Offs ROUTING - Backer Material: .177” Clear Plex - Face Material: .125” Mil Aluminum 5052 FABRICATION - Return Size: 3” - Return Material: .080 Aluminum PAINT - Return Color: Satin Aluminum VINYL & GRAPHICS - Artwork: If needed (Most are only painted) - Vinyl Color: - Paper Install Pattern ASSEMBLY - Lighting: 24V White LED SCOPE OF WORK: Produce and Install New I/I Channel letters w/ trim cap faces - Qty: 2 Set – “Fire Station 4” 2 Set – “Salina Fire Station No. 4” 2 Set – “2600” - Sign Type: Standard front lighted channel letters - Size: Fire Station 4 – 1’-0” tall; Salina Fire Station No. 4 – 2’-6” tall; 2600 – 8” tall - Mounting Type: 1 ½” Stand Offs ROUTING - Backer Material: 3mm ACM (Outsource Standard) or .090 Mil Aluminum (Lumineo Built Standard) - Face Material: .177 White Plex FABRICATION - Return Size: 1 ½” (Standard) - Return Material: .040 Aluminum (Outsource Standard) or .090-.080 Aluminum (Lumineo Built Standard) PAINT - Return Color: Satin Aluminum VINYL & GRAPHICS - Artwork: NA - Vinyl Color: NA - Paper Install Pattern ASSEMBLY - Lighting: 24V White LED - Trim Cap Size: NA - Trim Cap Color: NA 2' 4"" Back-lit Prefinished Aluminum Signage - ""4""",,Complete to Admin,End of March Install,Survey needed,2025-08-25,2025-10-13,2026-04-10,2025-10-19,,2026-06-05,2026-06-08,GEMINI,18477 / 18481,RECEIVED,WK,WK,False,29168.55,,0.0,287.0,2026-03-26,document - 2025-08-28T111933.862.pdf,In Process,True,,Routing Complete,done,done,,done
J30590,EQUITY BANK,DW,Neodesha,WK,"Neodesha Banner Grip Fabricate and install (1 )3'6""x10' banner grip frame and digitally printed vinyl banner.",,Complete to Admin,,Survey needed,2025-05-20,2025-07-08,,2025-07-14,,2025-06-12,2025-06-24,INDEPENDENT'S,17857,RECEIVED,WK,WK,False,2797.03,0.0,0.0,384.0,,J30590 Equity Bank_Banner Grip System.pdf,Completed,False,,,,,,
J32549,Idaho First Bank,DW,"Nampa, ID",WK,"Nampa Survey Survey site for new signage. Lytle Signs Inc - See Notes for scope 2070 E Commercial St, Meridian, ID 83642 Tom Mikesell - tom.mikesell@lytlesigns.com - 1-208-733-1739 - http://lytlesigns.com/ Location: IDAHO FIRST BANK 343 Caldwell Blvd, Nampa, ID 83651 (208) 854-8180",,Complete to Admin,,Survey needed,2025-07-25,2025-09-12,,2025-09-18,,2026-01-29,2026-01-30,,,,Sub,Sub-Installer,False,,0.0,0.0,318.0,,,Completed,False,,,,,,
J32271,EQUITY BANK,DW,Great Bend,WK,Great Bend Inwall Surround Fabricate and install 1 painted aluminum pan sign surround to existing inwall ITM unit.,,Complete to Admin,,Survey needed,2025-09-26,2025-11-14,2026-04-10,2025-11-20,,2026-04-14,2026-04-16,,,,WK,WK,False,2752.46,,0.0,255.0,2026-03-26,J32271 Equity Bank_ITM Surround.pdf,Completed,False,"Hutch,Outsourced",Routing Complete,done,,done,done
J33515,MERITRUST CREDIT UNION,CC,Wichita,WK,"Populate the ""eritrust"" letters on the west and south elevations of Meritrust corporate building Furnish labor and materials to add additional LEDs to the ""eritrust"" channel letters for the south and west elevation of the corporate building while staging is set up. New LEDs to be grouped to a new secondary whip into the building for future use when/if required.",RED DATE,Complete to Admin,April 15,Survey needed,2025-09-29,2025-11-17,,2025-11-23,,2026-04-24,2026-04-28,,,,WK,WK,False,7662.87,0.0,0.0,252.0,,CC-J33348 New Logo for Existing Letter Sets.pdf,Completed,False,,,,,,
J33783,SOUTHWEST LIVESTOCK AUCTION LLC,NH,Dodge City,WK,"interior ACM panels INTERIOR SIGN PANELS: Furnish and install (5) aluminum composite sign panels of various sizes (pre-painted black, applied white/red/orange vinyl graphics). Remove and dispose of the existing sign panels. Mount the new panels as shown. **Two main signs include decorative stainless steel caps/2"" spacers, one secondary sign includes 2"" spacers with standard painted black fasteners, and the other two mount flush, with standard painted black fasteners. *CUSTOMER TO PAINT THE WALLS PRIOR TO OUR INSTALLATIONS.",,Complete to Admin,,Survey needed,2025-10-20,2025-12-08,2025-11-04,2025-12-14,,2026-05-18,2026-05-26,MBS Stand-offs,cc,SHIPPING,WK,WK,False,2670.58,,0.0,231.0,2025-10-20,J33783 SOUTHWEST LIVESTOCK AUCTION LLC.pdf,Completed,False,Hutch,,,,done,done
J34723,HUTCHINSON REGIONAL MED.CENTER,AS,Hutchinson,WK,"T/M: H not lighting well T/M: Customer reports H is still having issues, please diagnose and fix so it matches the remaining of the letters.",,Complete to Admin,Close out order,Survey needed,2025-11-13,2026-01-01,,2026-01-07,,,2026-05-27,,,,WK,WK,False,,0.0,0.0,207.0,,IMG_3716.jpeg,Service Complete,False,,,,,,
J34145,MERITRUST CREDIT UNION,CC,"Longmont, CO",WK,Remove wall signs for Longmont Main St Branch Remove and dispose of the wall sign over entrance and the one on the south elevation. Seal holes and cap electrical service. The ATM cabinet over the entrance will remain in place.,,Complete to Admin,Order in Adam's office,Survey needed,2025-12-03,2026-01-21,,2026-01-27,,,2026-06-04,,,,Sub,Sub-Installer,False,1899.72,0.0,0.0,187.0,,,Complete Need Paperwork,False,,,,,,
J35200,EQUITY BANK,DW,Pittsburg,WK,Pittsburg Sign Overlay No Charge Fabricate and install (1) 39 1/8” x 39 1/8” aluminum overlay painted black and installed on existing pan sign face currently in Hutchinson shop. Reinstall face at Equity Pittsburg location.,,Complete to Admin,,Survey needed,2025-12-18,2026-02-05,,2026-02-11,,2026-03-18,2026-03-23,GREGORY,19259,RECEIVED,WK,WK,False,,,0.0,172.0,,J35200 Equity Bank_Pan Sign.pdf,Completed,False,Hutch,,done,,done,
J34835,Iron Insurance Partners,DP,Scott City,WK,"Furnish and install (1) 3' x 2' x 2"" non illuminated pan sign. Sign to have white face and returns Furnish and install (1) 3' x 2' x 2"" non illuminated pan sign. Sign to have white face and returns with applied customer graphic. Sign will install area to the left of the door at front entrance. Furnish and install (1) set of white window vinyl of customer logo, address and hours.",,Complete to Admin,,Survey needed,2025-12-19,2026-02-06,,2026-02-12,,2026-03-12,2026-03-23,GREGORY,19266,RECEIVED,WK,WK,False,2103.45,,0.0,171.0,,J34835 Iron Inurance Partners_pan sign and vinyl.pdf,Completed,False,"Hutch,Outsourced",,done,,done,done
J34897,Iron Insurance Partners,DP,Scott City,WK,N/I pan wall sign - Side elevation Furnish and install (1) 4' x 10' non-illuminated aluminum pan wall sign. Sign to be painted white with applied graphics. Sign will install area in upper NE corner/side elevation.,,Complete to Admin,,Survey needed,2025-12-19,2026-02-06,,2026-02-12,,2026-03-12,2026-04-24,GREGORY,19266,RECEIVED,WK,WK,False,3044.54,,0.0,171.0,,J34897 Iron Insurance Partners_pan sign.pdf,Completed,False,Hutch,,done,,done,done
