lni_name,lni_current_status,lni_process,lni_priority,lni_region,lni_sales,lni_location,lni_description,lni_job_notes,lni_ready_for_install,lni_order_date,lni_mfg_target_modified,lni_scheduled_install,lni_date_installed,lni_date_to_admin,lni_vendor,lni_po_number,lni_vendor_status,lni_mfg_region,lni_install_region,lni_value,lni_ul_sign,lni_graphics,lni_routing_type,lni_metal,lni_assembly,lni_plex_application,lni_vinyl_prod
J26606 / EQUITY BANK,Complete to Admin,Completed,,WK,DW,"Pea Ridge, AR","Fabricate and install 1 set of 3/8"" acrylic thick flat cut out letter flush mounted to interior sheetrock wall. SHIP TO: Sign Designs - Chris Meeks 1720 W. 7TH ST. JOPLIN MO 64801 417-624-8688  chris@sign-designs.com",Shipped to install subcontractor,Survey needed,2024-12-31,2025-02-18,,,2025-04-24,"GEMINI,GREGORY",16939 / 16930,RECEIVED,WK,Sub-Installer,2807.06,No,"Outsourced,Hutch",,,,X,X
J29422 / Salon Aspire,Complete to Admin,Completed,,WK,DW,Wichita,"We did not produce these tenant panels. Appears to be made out of ACM. Survey both tenant panels. Please get VO, cut size, retainer size, and info needed to replace graphics. Is acrylic glued to back or stud mounted? Will we need all new panels and acrylic or can panels be reused? Are panels aluminum or prepainted ACM?",gave survey info to Adam/scan to Ray for survey info.,Survey needed,2025-02-12,2025-04-02,,2025-06-04,2025-09-25,,,,WK,WK,,No,,,,,,
J26556 / EQUITY BANK,Complete to Admin,Completed,,WK,DW,"Pea Ridge, AR",Fabricate and install 1 banner grip system and 1 digitally printed banner to brick wall.  SHIP TO: SIGN DESIGNS Attn Chris Meeks V19160 1720 W. 7TH ST. JOPLIN MO 64801 417-624-8688  chris@sign-designs.com,banner frame here 3/4/25,Survey needed,2025-02-25,2025-04-15,,,2025-04-24,"Alpina Mfg.,INDEPENDENT'S",17263  17264,RECEIVED,WK,Sub-Installer,2834.53,No,,,,,,
J30070 / Idaho First Bank,Complete to Admin,Completed,,WK,DW,"Boise, ID",Survey Site,,Survey needed,2025-03-13,2025-05-01,,2026-01-29,2026-01-30,,,,Sub,Sub-Installer,,No,,,,,,
J30595 / BUSEY BANK (CROSSFIRST BANK),Complete to Admin,Completed,,WK,CC,"Tulsa, OK",Additonal labor rate to install Tulsa Busey Signage Additional labor costs to perform installs over the weekend at the Tulsa branch.,Cancel per CC,Survey needed,2025-04-28,2025-06-16,,,,,,,WK,WK,9938.63,No,,,,,,
J30594 / BUSEY BANK (CROSSFIRST BANK),Complete to Admin,Completed,,WK,CC,OKC,Overtime rates to install OK city Busey signage Additional labor costs to perform installs over the weekend at the Oklahoma City branch.,Cancel per CC,Survey needed,2025-04-28,2025-06-16,,,,,,,WK,WK,5682.75,No,,,,,,
J30593 / BUSEY BANK (CROSSFIRST BANK),Complete to Admin,Completed,,WK,CC,Wichita,"Adjust labor on jobs to weekend rates Additional labor costs for installing new signage over the weekend at the Wichita, KS branch.",Cancel per CC,Survey needed,2025-04-28,2025-06-16,,,,,,,WK,WK,4026,No,,,,,,
J29256 / MCP GROUP - Salina Fire Station #4,Complete to Admin,In Process,,WK,"TN,DP",Salina,"Salina Fire Station #4 - Dimensional Letters SCOPE OF WORK: Produce and Install New Halo/Reverse Lighted Channel letters - Qty: 1 Set – “4” - Sign Type: Halo/Reverse Lighted Channel letters - Size: 7’-0” x 4’-10 5/16”  - Mounting Type: 1-1/2” Stand Offs  ROUTING - Backer Material: .177” Clear Plex - Face Material: .125” Mil Aluminum 5052  FABRICATION - Return Size: 3” - Return Material: .080 Aluminum PAINT - Return Color: Satin Aluminum VINYL & GRAPHICS - Artwork: If needed (Most are only painted) - Vinyl Color:  - Paper Install Pattern ASSEMBLY - Lighting: 24V White LED  SCOPE OF WORK: Produce and Install New I/I Channel letters w/ trim cap faces - Qty: 2 Set – “Fire Station 4”              2 Set – “Salina Fire Station No. 4”              2 Set – “2600” - Sign Type: Standard front lighted channel letters - Size: Fire Station 4 – 1’-0” tall; Salina Fire Station No. 4 – 2’-6” tall; 2600 – 8” tall - Mounting Type: 1 ½” Stand Offs   ROUTING - Backer Material: 3mm ACM (Outsource Standard) or .090 Mil Aluminum (Lumineo Built Standard) - Face Material: .177 White Plex  FABRICATION - Return Size: 1 ½” (Standard) - Return Material: .040 Aluminum (Outsource Standard) or .090-.080 Aluminum (Lumineo Built Standard)  PAINT - Return Color: Satin Aluminum  VINYL & GRAPHICS - Artwork: NA - Vinyl Color: NA - Paper Install Pattern  ASSEMBLY - Lighting: 24V White LED - Trim Cap Size: NA - Trim Cap Color: NA  2' 4"" Back-lit Prefinished Aluminum Signage - ""4""",End of March Install,Survey needed,2025-08-25,2026-04-10,,2026-06-05,2026-06-08,GEMINI,18477 / 18481,RECEIVED,WK,WK,29168.55,No,,Routing Complete,X,X,,X
J30590 / EQUITY BANK,Complete to Admin,Completed,,WK,DW,Neodesha,"Neodesha Banner Grip Fabricate and install (1 )3'6""x10' banner grip frame and digitally printed vinyl banner.",,Survey needed,2025-05-20,2025-07-08,,2025-06-12,2025-06-24,INDEPENDENT'S,17857,RECEIVED,WK,WK,2797.03,No,,,,,,
J32549 / Idaho First Bank,Complete to Admin,Completed,,WK,DW,"Nampa, ID","Nampa Survey Survey site for new signage.  Lytle Signs Inc - See Notes for scope 2070 E Commercial St, Meridian, ID 83642 Tom Mikesell - tom.mikesell@lytlesigns.com - 1-208-733-1739 - http://lytlesigns.com/  Location: IDAHO FIRST BANK 343 Caldwell Blvd, Nampa, ID 83651 (208) 854-8180",,Survey needed,2025-07-25,2025-09-12,,2026-01-29,2026-01-30,,,,Sub,Sub-Installer,,No,,,,,,
